Photographer,Photo URL,License,Taken Date,Upload Date,Views,Comments,Title,Description,Tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4439768834/,(c) All Rights Reserved,Tue Mar 16 04:02:32 GMT-0400 2010,Tue Mar 16 21:08:20 GMT-0400 2010,"Latitude:10.233251, Longitude:-61.496143",429,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3979307603/,(c) All Rights Reserved,Sat Oct 3 04:03:31 GMT-0400 2009,Sun Oct 4 08:17:30 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",199,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3979308603/,(c) All Rights Reserved,Sat Oct 3 04:36:07 GMT-0400 2009,Sun Oct 4 08:18:02 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",248,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3979309667/,(c) All Rights Reserved,Sat Oct 3 04:36:11 GMT-0400 2009,Sun Oct 4 08:18:33 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",263,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3980066414/,(c) All Rights Reserved,Sat Oct 3 04:02:40 GMT-0400 2009,Sun Oct 4 08:16:38 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",133,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/3980067178/,(c) All Rights Reserved,Sat Oct 3 04:02:43 GMT-0400 2009,Sun Oct 4 08:17:03 GMT-0400 2009,"Latitude:10.652257, Longitude:-61.483440",278,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/2412871977/,(c) All Rights Reserved,Sun Apr 13 21:56:28 GMT-0400 2008,Mon Apr 14 10:10:31 GMT-0400 2008,"Latitude:10.264586, Longitude:-61.462669",240,+---------+,+---------------+,
TaranRampersad,https://www.flickr.com/photos/knowprose/2412875551/,(c) All Rights Reserved,Sun Apr 13 21:57:01 GMT-0400 2008,Mon Apr 14 10:12:28 GMT-0400 2008,"Latitude:10.264586, Longitude:-61.462669",535,+---------+,+---------------+,
TaranRampersad,https://www.flickr.com/photos/knowprose/2413699670/,(c) All Rights Reserved,Sun Apr 13 21:56:42 GMT-0400 2008,Mon Apr 14 10:11:29 GMT-0400 2008,"Latitude:10.264586, Longitude:-61.462669",299,+---------+,+---------------+,
TaranRampersad,https://www.flickr.com/photos/knowprose/5932233646/,(c) All Rights Reserved,Tue Jul 12 17:50:00 GMT-0400 2011,Tue Jul 12 20:50:00 GMT-0400 2011,111,0,"'Der Gefangene' by Nikolaj Alexandrowitsch Jaroschenko, Remixed.","Derivation of public domain image as found <a href=""http://en.wikiquote.org/wiki/File:Nikolaj_Alexandrowitsch_Jaroschenko_002.jpg"" rel=""nofollow"">here</a>. All hail Gimp.","remix ""Nikolaj Alexandrowitsch Jaroschenko"" ""Der Gefangene"" Gimp"
TaranRampersad,https://www.flickr.com/photos/knowprose/104449798/,(c) All Rights Reserved,Sat Feb 25 15:31:44 GMT-0500 2006,Sat Feb 25 22:21:21 GMT-0500 2006,"Latitude:10.264586, Longitude:-61.462669",56,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/5816950508/,(c) All Rights Reserved,Thu Jun 9 12:09:07 GMT-0400 2011,Thu Jun 9 21:07:28 GMT-0400 2011,72,0,'Strong' Painting,"Of course, he smiled so there are some ghost teeth in there...","HDR ""Rampersad's General Electrical Engineering Ltd"" ""San Fernando"" Trinidad ""Trinidad and Tobago"" ""West Indies"" ""Motor Rewinding"""
TaranRampersad,https://www.flickr.com/photos/knowprose/2804995495/,(c) All Rights Reserved,Wed Aug 27 15:19:48 GMT-0400 2008,Thu Aug 28 07:20:31 GMT-0400 2008,"Latitude:10.419611, Longitude:-61.415805",310,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/19968463558/,(c) All Rights Reserved,Tue Jul 7 05:23:38 GMT-0400 2015,Thu Jul 30 20:56:37 GMT-0400 2015,0,0,001,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21794187876/,(c) All Rights Reserved,Sun Sep 20 06:52:23 GMT-0400 2015,Tue Sep 29 17:16:37 GMT-0400 2015,0,0,001,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/22120184585/,(c) All Rights Reserved,Sun Oct 4 07:34:45 GMT-0400 2015,Mon Oct 12 19:35:52 GMT-0400 2015,0,0,001,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21795057026/,(c) All Rights Reserved,Sun Sep 20 06:52:23 GMT-0400 2015,Tue Sep 29 18:00:42 GMT-0400 2015,0,0,001_2_3_4_5Enhancer,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/4720523071/,(c) All Rights Reserved,Sun Jun 20 04:11:03 GMT-0400 2010,Mon Jun 21 10:15:08 GMT-0400 2010,"Latitude:18.433364, Longitude:-69.954757",40,+---------+,+---------------+,+--------+
TaranRampersad,https://www.flickr.com/photos/knowprose/9006033953/,(c) All Rights Reserved,Sat Jun 8 12:42:28 GMT-0400 2013,Mon Jun 10 09:54:56 GMT-0400 2013,34,0,001,(no description),"""New Smyrna Beach"" Florida"
TaranRampersad,https://www.flickr.com/photos/knowprose/20148499012/,(c) All Rights Reserved,Tue Jul 7 05:23:49 GMT-0400 2015,Thu Jul 30 20:58:19 GMT-0400 2015,0,0,002,(no description),(no tags
TaranRampersad,https://www.flickr.com/photos/knowprose/21497355364/,(c) All Rights Reserved,Sun Oct 4 07:34:45 GMT-0400 2015,Mon Oct 12 19:36:17 GMT-0400 2015,0,0,002,(no description),(no tags
